id,first_name,last_name,IT,FOD,English,FOM
48,Stevie,McAlester,80.58,25.5,20.44,99.26
49,Aldus,Ludron,92.41,41.3,58.94,40.72
50,Florence,Ternott,27.39,25.36,42.35,20.05
51,Perkin,Rockhill,23.81,54.26,47.54,69.42
52,Allie,Cleever,53.79,76.05,90.55,87.21
53,Bobine,Saffe,79.33,59.7,90.7,48.85
54,Babbette,Butt Gow,37.14,50.02,51.04,58.24
55,Ada,Argent,51.03,53.69,39.9,87.86
56,Trula,Warmisham,41.33,23.76,95.29,81.85
57,Arin,Schultheiss,38.92,59.73,72.46,50.19
58,Ruddy,Waggatt,23.72,40.79,83.41,94.3
59,Aubrey,Casetti,81.15,26.47,52.02,77.56
60,Fairlie,Groveham,40.91,90.33,91.22,31.06
61,Audre,Farnall,35.56,20.36,95.65,69.33
62,Merridie,Veivers,81.07,48.43,98.48,56.93
63,Gibb,Bunyard,70.4,22.33,88.72,31.46
64,Mercy,Doud,24.8,48.12,43.07,34.96
65,Kimmy,Englishby,82.8,27.9,98.67,86.22
66,Waylon,Else,83.39,68.34,31.94,31.34
67,Kiel,Prickett,87.06,80.6,40.75,73.35
68,Artemas,Douthwaite,48.34,67.66,45.3,91.09
69,Rockey,Nisius,71.98,89.52,46.07,92.99
70,Trip,Sherel,89.4,40.94,71.75,20.08
71,Ashlan,Moorfield,56.07,59.1,93.27,23.76
72,Gratia,Iacoboni,78.2,67.12,23.8,57
73,Marjie,Vize,45.57,48.14,55.13,60.05
74,Derward,Seakings,36.97,29.99,34.74,95.07
75,Harmony,Duchart,44.55,42.3,57.55,65.17
76,Amabel,Levermore,62.57,53.28,30.09,43.74
77,Kellen,Woollin,29.27,46.82,64.75,33.15
78,Allegra,Castiglione,52.32,86.92,25.29,36
79,Toinette,Dunckley,36.36,72.28,41.74,94.06
80,Derry,McGinty,37.27,23.04,26.28,91.43
81,Shannon,Gettins,41.15,81.77,44.63,56.87
82,Chere,Rolingson,63.69,84.82,63.38,34.99
83,Marshall,Danilevich,33.38,38.46,94.26,44.98
84,Fayette,Withams,40.18,24.52,92.25,21.83
85,Claudio,Diem,35.02,58.01,47,22.82
86,Morrie,Elderton,89.26,24.46,94.94,40.03
87,Noell,Grant,51.8,42.32,91,47.99
88,Tarrance,Phelp,27.52,50.87,62.51,71.17
89,Ellary,Furmagier,79.81,83.97,91.4,61.64
90,Cozmo,Mc Grath,76.59,87.89,20.98,38.2
91,Kerianne,Bradman,60.9,67.9,28.01,58.36
92,Linda,McCrum,33.11,35.4,63.92,25.8
93,Fabiano,Asals,60.34,75.47,27.84,96.11
94,Jourdain,MacGuffie,40.91,81.41,40.01,52.57
95,Illa,Matkin,66.91,49.24,44.38,38.62
96,Julia,Snalom,52.13,54.99,25.93,36.12
97,Doe,Janosevic,52.88,49.65,98.78,20.94
98,Zack,Sargison,67.19,60.57,53.45,81.31
99,Parnell,Watsam,97.14,49.44,69.13,61.27
100,Belvia,Ianinotti,45.37,48.65,23.23,63.23
